1	1 0 0
1	2 0 0
1	3 0 0
1	4 0 0
1	5 0 0
1	6 0 0
1	7 0 0
1	8 0 0
1	9 0 0
1	10 0 0
2	1 0 0
2	2 0 0
2	3 0 0
2	4 0 0
2	5 0 0
2	6 0 0
2	7 0 0
2	8 0 0
2	9 0 0
2	10 0 0
3	1 0 0
3	2 0 0
3	3 0 0
3	4 0 0
3	5 0 0
3	6 0 0
3	7 0 0
3	8 0 0
3	9 0 0
3	10 0 0
4	1 0 0
4	2 0 0
4	3 0 0
4	4 0 0
4	5 0 0
4	6 0 0
4	7 0 0
4	8 0 0
4	9 0 0
4	10 0 0
5	1 0 0
5	2 0 0
5	3 0 0
5	4 0 0
5	5 0 0
5	6 0 0
5	7 0 0
5	8 0 0
5	9 0 0
5	10 0 0
6	1 0 0
6	2 0 0
6	3 0 0
6	4 0 0
6	5 0 0
6	6 0 0
6	7 0 0
6	8 0 0
6	9 0 0
6	10 0 0
7	1 0 0
7	2 0 0
7	3 0 0
7	4 0 0
7	5 0 0
7	6 0 0
7	7 0 0
7	8 0 0
7	9 0 0
7	10 0 0
8	1 0 0
8	2 0 0
8	3 0 0
8	4 0 0
8	5 0 0
8	6 0 0
8	7 0 0
8	8 0 0
8	9 0 0
8	10 0 0
9	1 0 0
9	2 0 0
9	3 0 0
9	4 0 0
9	5 0 0
9	6 0 0
9	7 0 0
9	8 0 0
9	9 0 0
9	10 0 0
10	1 0 0
10	2 0 0
10	3 0 0
10	4 0 0
10	5 0 0
10	6 0 0
10	7 0 0
10	8 0 0
10	9 0 0
10	10 0 0
11	1 0 0
11	2 0 0
11	3 0 0
11	4 0 0
11	5 0 0
11	6 0 0
11	7 0 0
11	8 0 0
11	9 0 0
11	10 0 0
12	1 0 0
12	2 0 0
12	3 0.00148479 0.00148479
12	4 0.00167039 0.00106619
12	5 0.00178175 0.000833338
12	6 0.00148479 0.000742397
12	7 0.00190902 0.000757396
12	8 0.00194879 0.000657129
12	9 0.00173226 0.000618664
12	10 0.00200447 0.000616681
13	1 0.674929 0
13	2 0.689068 0.0141396
13	3 0.677442 0.0142058
13	4 0.67917 0.0101926
13	5 0.682847 0.00870908
13	6 0.68624 0.00787916
13	7 0.686779 0.00668086
13	8 0.683412 0.00669397
13	9 0.681632 0.00616619
13	10 0.67983 0.00580197
14	1 4.07182 0
14	2 4.02009 0.0517265
14	3 4.00393 0.0339583
14	4 3.99342 0.0262103
14	5 3.9771 0.0260523
14	6 3.97349 0.0215757
14	7 3.97137 0.0183573
14	8 3.96271 0.0181033
14	9 3.97375 0.0194142
14	10 3.97128 0.0175406
15	1 3.43168 0
15	2 3.49614 0.064458
15	3 3.50595 0.0384858
15	4 3.51856 0.0299937
15	5 3.54126 0.0324819
15	6 3.5585 0.0316298
15	7 3.5582 0.0267337
15	8 3.57023 0.0260937
15	9 3.55577 0.0271785
15	10 3.56186 0.0250599
16	1 1.19323 0
16	2 1.16809 0.025139
16	3 1.17565 0.0163661
16	4 1.17361 0.0117518
16	5 1.16552 0.0121806
16	6 1.15092 0.0176601
16	7 1.14996 0.0149566
16	8 1.15077 0.0129781
16	9 1.15535 0.0123286
16	10 1.15509 0.0110301
17	1 0.181817 0
17	2 0.183982 0.00216445
17	3 0.189393 0.00555368
17	4 0.18804 0.00415352
17	5 0.186363 0.00362834
17	6 0.186327 0.00296275
17	7 0.188001 0.0030125
17	8 0.186687 0.00292119
17	9 0.18807 0.00292394
17	10 0.185713 0.00352058
18	1 0.0952505 0
18	2 0.0928452 0.00240528
18	3 0.0907606 0.00250482
18	4 0.0897183 0.00205511
18	5 0.0896702 0.00159261
18	6 0.0877138 0.00234907
18	7 0.0894778 0.00265573
18	8 0.0900791 0.00237724
18	9 0.0893708 0.00221292
18	10 0.0894778 0.00198218
19	1 0.378817 0
19	2 0.389579 0.0107619
19	3 0.382835 0.00917004
19	4 0.379248 0.00741035
19	5 0.376062 0.0065647
19	6 0.374513 0.00557959
19	7 0.377587 0.00562951
19	8 0.376019 0.00512129
19	9 0.374321 0.00482519
19	10 0.370466 0.00578688
20	1 0.778804 0
20	2 0.780354 0.0015498
20	3 0.781645 0.0015712
20	4 0.785003 0.00353708
20	5 0.793217 0.00865914
20	6 0.795594 0.00745886
20	7 0.793749 0.00656835
20	8 0.794399 0.00572542
20	9 0.797747 0.00605806
20	10 0.800734 0.00618764
21	1 0.780419 0
21	2 0.75728 0.0231391
21	3 0.760318 0.0137006
21	4 0.761312 0.00973855
21	5 0.758542 0.00803585
21	6 0.764058 0.00857187
21	7 0.758983 0.00884543
21	8 0.758945 0.00766046
21	9 0.759305 0.00676549
21	10 0.761767 0.00653289
22	1 0.354443 0
22	2 0.359861 0.0054187
22	3 0.363792 0.00502409
22	4 0.361455 0.00425259
22	5 0.3612 0.0033039
22	6 0.358693 0.00368301
22	7 0.360453 0.00357616
22	8 0.358666 0.00357572
22	9 0.35593 0.00417487
22	10 0.355271 0.00379177
23	1 0.452283 0
23	2 0.475567 0.0232837
23	3 0.474791 0.0134652
23	4 0.475713 0.00956584
23	5 0.468 0.0106953
23	6 0.461985 0.0106037
23	7 0.464591 0.00933284
23	8 0.462397 0.00837476
23	9 0.463925 0.00754224
23	10 0.462121 0.00698316
24	1 1.64993 0
24	2 1.64139 0.008537
24	3 1.63499 0.00808034
24	4 1.62818 0.00888446
24	5 1.63659 0.0108623
24	6 1.64201 0.0103967
24	7 1.63994 0.00902751
24	8 1.64039 0.00783086
24	9 1.64008 0.00691285
24	10 1.64176 0.00640662
25	1 2.45473 0
25	2 2.44442 0.010311
25	3 2.44851 0.00722324
25	4 2.45804 0.0108146
25	5 2.46043 0.00870881
25	6 2.45923 0.00721036
25	7 2.452 0.00945974
25	8 2.45866 0.0105598
25	9 2.45849 0.00931432
25	10 2.45954 0.00839656
26	1 1.45613 0
26	2 1.4516 0.0045325
26	3 1.4442 0.00785142
26	4 1.44616 0.00588895
26	5 1.44616 0.00456156
26	6 1.45213 0.00703413
26	7 1.45846 0.00868675
26	8 1.45772 0.00755971
26	9 1.45905 0.00679926
26	10 1.45867 0.00609347
27	1 0.58121 0
27	2 0.59254 0.0113304
27	3 0.594079 0.00672016
27	4 0.588973 0.00697483
27	5 0.583224 0.00788933
27	6 0.578552 0.00795754
27	7 0.583308 0.0082371
27	8 0.579741 0.00797564
27	9 0.580837 0.00711869
27	10 0.579195 0.00657529
28	1 0.769237 0
28	2 0.76534 0.00389695
28	3 0.773004 0.00798719
28	4 0.773719 0.0056928
28	5 0.77329 0.00443041
28	6 0.772095 0.0038097
28	7 0.77152 0.00327077
28	8 0.773426 0.00341449
28	9 0.772701 0.0030974
28	10 0.773758 0.002965
29	1 0.927733 0
29	2 0.919932 0.00780065
29	3 0.919267 0.00455257
29	4 0.919388 0.00322142
29	5 0.924032 0.00527198
29	6 0.924588 0.00434035
29	7 0.919595 0.00619576
29	8 0.916848 0.00602801
29	9 0.914711 0.0057295
29	10 0.915251 0.00515301
30	1 0.652224 0
30	2 0.682194 0.02997
30	3 0.682476 0.0173055
30	4 0.683549 0.0122837
30	5 0.680806 0.00990241
30	6 0.675421 0.00971409
30	7 0.680187 0.0094926
30	8 0.677326 0.00870422
30	9 0.674387 0.00821999
30	10 0.670037 0.00854249
